Epic;Ações;Status;Due Date;Assignee;Estimated effort;Planned effort;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/262;fev/26;mar/26;abr/26;mai/26;jun/26;jul/26;ago/26;set/26;out/26;nov/26;dez/26
GAP;;;;;;-2,80;-0,40;7,90;0,00;-0,30;0,00;-6,00;0,00;2,00;0,00;0,00;-6,00;0,00;144,00;160,00;168,00;160,00;168,00;160,00;176,00;168,00;176,00;184,00;160,00;128,00
Horas disponíveis;;;;;;1.952,00;144,00;160,00;168,00;160,00;168,00;160,00;176,00;168,00;176,00;184,00;160,00;128,00;144,00;160,00;168,00;160,00;168,00;160,00;176,00;168,00;176,00;184,00;160,00;128,00
Total de esforço (hrs);;;;;;1.954,80;144,40;152,10;168,00;160,30;168,00;166,00;176,00;166,00;176,00;184,00;166,00;128,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
SEG - Global Infrastructure;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;
SAP Basis & DB;;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;
DTI_XX (Tarefa Administrativa, Rotina, Treinamento, ...);;Em andamento;2025;joaowinter;406,00;265,90;15,70;17,80;22,80;26,30;43,30;20,00;20,00;20,00;20,00;20,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
DTI_Ausência;;Em andamento;2025;joaowinter;;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
DTI_Férias;;;;;;80,00;80,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Demandas CCOE;;Em andamento;2025;joaowinter;;524,20;47,70;109,80;142,70;90,00;32,00;0,00;10,00;0,00;10,00;18,00;0,00;64,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1000029683 - Implementar Arquitetura SDWAN;;Em andamento;2025;joaowinter;;193,50;1,00;24,50;0,00;0,00;0,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1000029903 - Plano de Automatizações da SGI;;Em andamento;2025;joaowinter;;891,20;;0,00;2,50;44,00;92,70;122,00;122,00;122,00;122,00;122,00;122,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
